id,area,evidence_path,status,severity,owner,affected_layer,action,dependency,acceptance_criterion
A1-01,"Final-SHA self-reference in closure records (§8 + DOCUMENTS_UPLOAD_STATUS record 81b1933/fe3f8db; actual tips ece7be3/c8e5701)","planning/micro-standard-ui-aux-integration-2026-09/EXECUTION_REPORT.md §8; DOCUMENTS_UPLOAD_STATUS.md; mirror commit c8e57019 message",ALREADY_CLOSED_WITH_EVIDENCE,LOW,MICRO_MAINTAINER,"Planning docs (run folder + mirror)","None required — closure record must cite actual tips ece7be3/c8e5701; §1 ls-remote pointer + mirror commit message already carry the truth",NONE,"Unified closure report states actual final tips; no agent treats 81b1933 as the branch tip"
A1-02,"Per-action Button sub-classification not mechanically reproducible (claimed classes sum 302 ≠ 299; prop-level reality 19 create / 8 commit / 11 destructive / 78 save / 147 secondary / 35 quiet / 1 conditional; MIGRATION_STATUS.md carries a third variant)","planning/micro-standard-ui-aux-integration-2026-09/EXECUTION_REPORT.md §2 W2; docs/architecture/MIGRATION_STATUS.md:8; Agent-4 LOW-8",SAFE_TO_DEFER,LOW,MICRO_MAINTAINER,"Docs (classification tables)","Optional future docs pass: regenerate sub-counts from prop-level grep; headline 299/81/8 is exact and guard-protected",NONE,"Sub-counts sum to 299 and match a stated reproducible method"
A1-03,"Commit-count bookkeeping: analysis context said 21 commits, actual 23 (foundation enumeration omitted d0a412f/8061ab2; run docs 9 completion commits predates the final two)","git rev-list --count origin/main..HEAD = 23; FINAL_TEST_RESULTS.md (12 foundation commits, correct)",SAFE_TO_DEFER,LOW,NEXT_EXECUTION_AGENT,"Analysis context / closure report","Use 23 (12 foundation + 11 completion) in the unified closure report; two-segment structure confirmed",NONE,"Unified report cites 23 commits and the corrected foundation list"
A1-04,"ROLLBACK_MANIFEST completion wave list stops at db03aaf; trailing commits 18f4e9f/0602953/81b1933/ece7be3 (chores+docs only) unenumerated","planning/micro-standard-ui-aux-integration-2026-09/ROLLBACK_MANIFEST.json completion_run.wave_boundaries",SAFE_TO_DEFER,LOW,MICRO_MAINTAINER,"Planning (rollback docs)","Optional: append the 4 tail commits or a note that the tail is docs/chores-only; global restore 295c87c already covers them",NONE,"Manifest enumerates or explicitly scopes the completion-run tail"
A1-05,"Execution-layer claims not independently re-executable under read-only mandate (pnpm check stages, 391/1233 tests, lint 36 warnings, budget 633666/150996, secrets 848, test-focus 205, cycles 259, clean-worktree rollback)","planning/micro-standard-ui-aux-integration-2026-09/FINAL_TEST_RESULTS.md; AGENT_5_REPORT.md executed-results table",SAFE_TO_DEFER,LOW,OWNER,"Verification layer (execution claims)","Optional: fresh pnpm check at the owner acceptance gate to convert reported evidence to present-tense","NONE (Agent 5 executed it independently post-fix, exit 0)","A dated, executed pnpm check exit-0 record at acceptance time"
A1-06,"Agent 2/3 primary reports absent from run folder (audits targeted the lost pre-push attempt; findings preserved second-hand in RECONCILIATION_TABLE + §0 disclosure)","Run folder file list (no AGENT_2/3_REPORT.md); EXECUTION_REPORT.md §0 session-loss disclosure",ALREADY_CLOSED_WITH_EVIDENCE,LOW,NONE,"Planning (audit provenance)","None — §0 disclosure + 18 reconciliation rows (A2/A3) carry the findings; primary transcripts lost with the session",NONE,"Reconciliation table remains the authoritative disposition record for A2/A3 findings"
A2-01,"Zero keyboard-event tests tree-wide (no userEvent.keyboard/fireEvent.keyDown in 205 test files); Escape-closes-the-sheet claim has no automated test","grep over all 205 test files = 0 hits; FINAL_TEST_RESULTS.md:65; visual-review/capture-log.json domVerification",CLOSE_BEFORE_NEXT_PHASE,HIGH,NEXT_EXECUTION_AGENT,"client tests","Add keyboard tests: Escape closes QuickActionSheet + UnsavedChangesGuard drawer; Tab/Enter on sheet menu",NONE,"A test dispatching {Escape} asserts onOpenChange(false) / guard dialog; suite stays green in pnpm prototype:test"
A2-02,"Overlay focus management: only one focus assertion in 1,624 tests; no trap/restore tests for any of 5 sheet/dialog components","components/ErrorBoundary.dom.test.tsx:62 (sole focus assertion)",CLOSE_BEFORE_NEXT_PHASE,HIGH,NEXT_EXECUTION_AGENT,"client tests / layout components","Add focus tests (initial focus, trap while open, restore on close) for QuickActionSheet + UnsavedChangesGuard drawer",NONE,"Focus trap/restore asserted in jsdom via document.activeElement; 0 regressions in existing 1,233 tests"
A2-03,"Reduced-motion claim accuracy: claimed verified at DOM level, reality is a CSS string assertion only","EXECUTION_REPORT.md §7.F vs components/primitives/primitives.test.tsx:348-351",CLOSE_BEFORE_NEXT_PHASE,MEDIUM,MICRO_MAINTAINER,"run docs + client tests","Correct §7.F wording; add a matchMedia-driven behavioral test or rename the string test as a guard",NONE,"Report no longer claims DOM-level verification for reduced motion, or a behavioral test exists"
A2-04,"Width matrix 360/430 evidence: no PNGs, no per-row log entries; only a self-attested responsiveMatrix sentence (16 real captures cover 320/390 only)","visual-review/capture-log.json responsiveMatrix; FINAL_TEST_RESULTS.md:64",CLOSE_BEFORE_NEXT_PHASE,MEDIUM,NEXT_EXECUTION_AGENT,"visual evidence","Re-run captures at 360/430 (home+finance) with per-row log entries, or narrow the claim to 320/390",browser tooling,"capture-log contains per-row 360/430 entries with overflow/console fields, or docs state 320/390 only"
