wave,file,decision,scope,dependency,risk,acceptance_criteria,rollback_boundary,owner_decision_required
Wave 0,ALL PACKAGE FILES + MANIFEST.json + RELEASE.md,ACCEPT,"Freeze current baseline; calculate and record hashes; register 29 core files plus 2 metadata files; record per-file boundaries and rollback boundary; no content change","None","Incomplete baseline or ambiguous file count","Hash record exists; inventory matches 29+2; every file has a recorded boundary; package remains byte/content unchanged","Wave 0 administrative records only; package content is untouched","Confirm 29+2 convention"
Wave A,component-contracts.md,ACCEPT,"Add visual-only contracts for Metric/Balance Relation OperationalRow Lifecycle Period and ownership/non-inference fields","Wave 0; owner state decisions","Business policy enters visual contracts","Every contract has slots states RTL responsive accessibility Semantic ownership and Do not infer","Remove new contract sections as one unit","Advanced state semantics"
Wave A,data-display-system.md,ACCEPT,"Extend value context period comparison relation zero and text-alternative guidance","Wave 0; component-contracts.md","Formulas or report policy are encoded","Direct value has context; relation is conditional; zero/no-data/text alternatives are specified","Revert added data-display sections","Relation wording"
Wave A,component-states.md,ACCEPT,"Define pending unknown retry result and reversal presentation","Wave 0; component-contracts.md","Unknown/pending is shown as success","Every state has word marker and next-action boundary","Revert lifecycle additions","Meaning of posted/reviewed/partial/due/reversed"
Wave A,empty-loading-error-states.md,ACCEPT,"Add neutral examples for unknown retry preserved input and permission boundary","Wave A state contract","Unknown collapses into failure","Retry preserves staged input; unknown is distinct; no success claim","Revert added examples","Permission language"
Wave A,input-system.md,ACCEPT,"Add visual Period/DateRange guidance for monthly weekly daily custom and invalid states","Wave A contracts","Timezone/owner-day policy leaks into Foundation","Presets and validation/loading/no-data are clear in RTL","Revert Period section","Preset and owner-day decision"
Wave A,motion-interaction.md,ACCEPT,"Connect motion to pending and completion boundaries and reduced motion","Wave A states","Motion implies completion","Reduced motion path exists; pending never confirms completion","Revert lifecycle guidance","Final confirmation boundary"
Wave A,typography.md,ACCEPT,"Add amount date status and bidi-isolation specimens","Wave A data contract","Numeric alignment drifts in RTL","English numerals, currency context and amount slot remain readable at 320px/200%","Revert specimens","Currency presentation"
Wave A,accessibility.md,ACCEPT,"Add acceptance rules for metric row relation states and text alternatives","Wave A contracts","Accessibility claims exceed evidence","AA contrast; focus; non-color states; text alternatives; 320px/200%","Revert added acceptance rules","None beyond available evidence"
Wave B,surface-system.md,ACCEPT,"Define Row Surface Card Sheet use and anti-use recipes","Wave A","Everything becomes a Card or Sheet","Each container has rationale, anti-use case, calm layers and responsive behavior","Revert recipe section","None; protected surface roles"
Wave B,spacing-radius-elevation.md,ACCEPT,"Map spacing/radius/elevation to container choices without new shadow or color roles","Wave B surface recipes","Visual noise or dense rows break","Choices pass 320px and 200%; no universal Card default","Revert usage section","None"
Wave B,visual-direction.md,ACCEPT,"Translate richness into measurable relation density layer and action rules","Wave A","Aesthetic language stays subjective","Each rule maps to a gallery/verification check","Revert measurable criteria","None"
Wave B,color-system.md,ACCEPT,"Add use/avoid/use-with-marker guardrails for existing Warm-Ink Clay and semantic roles","Wave A","Role saturation or identity drift","No new colors; state never relies on color alone","Revert guardrail section","None; existing roles protected"
Wave B,button-system.md,ACCEPT,"Add action boundary guidance for pending loading and completed presentation","Wave A states","Action looks like financial success too early","Focus pressed disabled loading and completion are distinct","Revert action guidance","Final action semantics"
Wave B,overlay-system.md,ACCEPT,"Define confirm retry unknown and permission visual boundaries","Wave A states","Overlay loses context or hides state","Focus/back dismissal and next action are explicit","Revert overlay additions","Permission and destructive wording"
Wave B,navigation-shell.md,ACCEPT,"Document shell/detail/sheet handoff as visual guidance only","Wave A","Product route policy enters Foundation","Context handoff is clear without prescribing routes","Revert handoff section","Route ownership later"
Wave B,iconography.md,ACCEPT,"Map non-color markers for states and relations","Wave A states","Markers become ambiguous or decorative","Every tested state has a second signal independent of color","Revert mapping section","None"
Wave B,component-contracts.md,ACCEPT,"Add limited Question-led SimpleChart visual contract: question/title primary/secondary series zero no-data empty loading legend/interpretation and text alternative","Wave A; data-display-system.md; accessibility.md","Chart contract becomes report logic or advanced visualization","Contract is visual-only; existing colors only; Semantic ownership and Do not infer are present","Revert SimpleChart contract section","Micro owns source/formula/KPI policy"
Wave B,data-display-system.md,ACCEPT,"Reference the limited SimpleChart contract and question-led use","Wave B component contract","Charts become decorative or over-specified","Every chart requires a functional question and text alternative","Revert SimpleChart guidance","Required report questions stay in Micro"
Wave B,accessibility.md,ACCEPT,"Add SimpleChart alternative text and zero/no-data/loading accessibility rules","Wave B SimpleChart contract","Visual chart is inaccessible","Readable alternative exists and states are not color-only","Revert chart accessibility additions","None"
Wave C,component-gallery.html,ACCEPT,"Add five neutral samples plus one SimpleChart sample: Metric, Relation, OperationalRow, Lifecycle, Container Choice, and chart","Waves 0-B; owner wording decisions","Gallery becomes a product prototype","Samples are product-neutral and pass all measurable richness checks","Remove Wave C sample blocks","Approve conditional terminology"
Wave C,component-gallery.css,ACCEPT,"Style only the Wave C neutral samples using existing tokens and responsive rules","Waves 0-B","New palette or overflow enters gallery","No new color values; 320/360/390/430 and 200% pass","Rollback Wave C sample styles","None"
Wave C,component-gallery.js,ACCEPT,"Add only neutral state inspection for samples and reduced-motion behavior","Waves 0-B","Mock interaction is mistaken for product logic","No routes, writes, formulas or business actions; states are inspectable","Rollback Wave C sample behavior","None"
Wave C,coverage-matrix.json,ACCEPT,"Map each accepted contract to its Wave C sample and test gate","Waves A-B","Coverage claims lack evidence","Every covered contract has a sample and acceptance evidence","Remove Wave C matrix rows","Approve coverage claims"
Wave C,content-guidelines.md,OWNER_DECISION,"Add only owner-approved labels for relation and advanced states used by samples","Wave A; owner wording decision","Unapproved financial terminology becomes normative","All sample labels are approved or marked provisional","Remove added sample terminology","Approve Arabic wording"
Wave C,design-tokens.css,PRESERVE,"No value change; aliases only if a Wave C sample requires a stable existing slot","Waves A-B","Token drift or new hues","All values unchanged; no new color roles","No change unless alias is approved","Approve alias necessity"
Wave C,design-tokens.json,EXTEND,"Add marker/numeric-slot metadata only if required by accepted contracts","Waves A-B","Metadata implies new design roles","Backward-compatible JSON; roles and state rule unchanged","Revert metadata additions","None if no metadata is needed"
Wave D,verification-report.md,ACCEPT,"Record results for Wave C samples, responsive/accessibility checks and unavailable test boundaries","Wave C completed","Report overclaims device or screen-reader testing","Evidence distinguishes tested/unavailable; all gates recorded","Rollback Wave D report changes only","Approve release evidence"
Wave D,README.md,ACCEPT,"Document final layer map, 29+2 scope, wave gates and integration boundary","Waves 0-C","README implies premature approval or product scope","Boundary and adoption order are explicit","Revert Wave D README section","Approve release language"
Wave D,RELEASE.md,ACCEPT,"Record release gate, dependencies, acceptance status and rollback metadata","Waves 0-C","Release claims unapproved work","Release is blocked until Wave D acceptance","Revert release metadata","Approve release gate"
Wave D,MANIFEST.json,ACCEPT,"Record final 29+2 inventory/hash reference only; no content or design change","Wave 0 records; Wave C file set unchanged","Manifest count becomes ambiguous","Inventory and hash reference match the released package","Revert metadata-only update","Confirm 29+2 convention"
Wave D,source-inventory.md,ACCEPT,"Link evidence to contracts, samples and confidence labels","Waves A-C","Inference presented as fact","Every claim is confirmed/inferred/owner/unavailable","Revert evidence additions","None"
Wave D,self-critique.md,ACCEPT,"Record stop criteria and anti-goals for measured richness","Waves A-C","Quality remains impressionistic","Five samples and measurable checks are named","Revert stop-criteria section","None"
Wave D,decision-log.md,ACCEPT,"Record only decisions that block or release a wave","Waves 0-C","Decision log becomes uncontrolled requirements list","Open/decided/deferred items are separated","Revert Wave D decision entries","Advanced state, period, permission and 29+2 decisions"
Wave D,component-gallery.html,DEFER,"No changes in Wave D; use the Wave C gallery as verification input only","Wave C","Gallery changes conflict with C-only rule","Git diff shows no Wave D gallery change","No Wave D gallery rollback; verify C baseline","None"
Wave D,component-gallery.css,DEFER,"No changes in Wave D; verify Wave C styles only","Wave C","Late styling changes invalidate evidence","Git diff shows no Wave D CSS change","No Wave D gallery rollback; verify C baseline","None"
Wave D,component-gallery.js,DEFER,"No changes in Wave D; verify Wave C inspection behavior only","Wave C","Late behavior changes invalidate evidence","Git diff shows no Wave D JS change","No Wave D gallery rollback; verify C baseline","None"
Wave D,KPI summary recipe,DEFER,"Keep only general hierarchy guidance; formulas/source/update frequency remain Micro","Micro KPI definitions","Foundation acquires analytics policy","No KPI formula or source enters the package","Remove any added KPI section","Micro defines actual metrics"
Wave D,PermissionState and ToolResult,OWNER_DECISION,"Do not add contracts or samples until owner approves neutral boundary language","Wave A; owner decisions","Protected-data or write semantics leak into Foundation","If added, ownership and non-inference are explicit and visual-only","Remove unapproved sections","Permission copy and tool write boundary"
Wave D,New palette,REJECT,"Do not add colors or replace current Warm-Ink/Clay roles","Existing approved color roles","Identity drift and additional noise","No new hues; current colors remain unchanged","Not applicable","None"
Wave D,Generic tables,REJECT,"Do not make tables a default mobile primitive","Phone geometry and row evidence","Overflow and reduced scanability at 320-430px","Rows remain default; table exception must be a Micro task decision","Not applicable","Task-specific Micro exception only"
