id,token_or_component,layer,light_evidence,dark_counterpart_status,dark_evidence,consumers_count,gap,severity,classification,notes
A4-R01,canvas (--color-bg-canvas),Micro runtime alias (index.css :root),index.css:57 → var(--vf-canvas) #faf9f5 (vf-tokens.css:25),PRESENT,index.css:111 → #1c1917 (retired v0),9 css refs + html/body background (index.css:159/165/193),Value is retired v0 canvas; unaudited (not in APPROVED_18/MICRO_KEPT/RETIRED registries); also feeds ThemeContext meta rewrite (ThemeContext.tsx:53),MEDIUM,SAFE_TO_DEFER,"Re-declared under .dark; resolves, but contradicts D-01 adoption and is unratified"
A4-R02,surface (--color-surface),Micro runtime alias,index.css:59 → var(--vf-surface) #ffffff,PRESENT,index.css:113 → #27231f,60 css refs,Retired v0 value; text on it (dark alias text #fff7ed) passes 14.7:1 but --vf-ink bound text on it fails 1.18:1 (see A4-R23),MEDIUM,SAFE_TO_DEFER,"Alias adapts; consumers mixing --vf-* text on it break (primitives)"
A4-R03,surface-raised / well (--color-bg-well),Micro runtime alias,index.css:58 → var(--vf-recessed) #f0eee6,PRESENT,index.css:112 → #332d27,37 css refs,Retired v0; all soft bgs collapse to #332d27 (index.css:384 comment); tone separation becomes border-only (index.css:386-394),MEDIUM,SAFE_TO_DEFER,"Documented structural-separation rule for dark already present"
A4-R04,border (--color-border),Micro runtime alias,index.css:60 → var(--vf-tint) #e8e6dc (quiet hairline tier),PRESENT,index.css:114 → #51473c,119 css refs + primitives.css:52/135/173/304/385,Dark hairline vs dark surface = 1.72:1 (below 3:1 non-text floor for structural separators),MEDIUM,SAFE_TO_DEFER,"Resolves but sub-floor contrast; unaudited value"
A4-R05,divider (--color-divider),Micro runtime alias,index.css:61 → var(--vf-soft) #d1cfc5,PRESENT,index.css:115 → #62564b,10 css refs,2.19:1 vs dark surface — sub-floor non-text contrast (scrolled header hairline index.css:205; sheet handle index.css:845),MEDIUM,SAFE_TO_DEFER,"Resolves but sub-floor"
A4-R06,text primary/strong (--color-text-primary/--color-text-strong),Micro runtime alias,index.css:62-63 → var(--vf-ink) #141413,PRESENT,index.css:116-117 → #fff7ed,89+11 css refs,16.47:1 on dark canvas — passes; retired v0 cream ink,LOW,SAFE_TO_DEFER,""
A4-R07,text secondary (--color-text-secondary),Micro runtime alias,index.css:64 → var(--vf-ink-secondary) #4d4c48,PRESENT,index.css:118 → #d6c9ba,179 css refs,9.6:1 on dark surface — passes,LOW,SAFE_TO_DEFER,""
A4-R08,text tertiary (tier),Standard contract + primitive binding,vf-tokens.css:38 --vf-ink-tertiary #6b6962; Micro alias removed as dead in W6 (W5_W6_W7_REPORTS.md:31),MISSING,No .dark declaration; --vf-ink-tertiary keeps light value,ghost button (primitives.css:83/165) 1 direct css consumer + --vf-ink-tertiary,In dark ghost text = 3.18:1 < 4.5:1 (floor); tier has no mode-adaptive name at all,HIGH,SAFE_TO_DEFER,"Root cause: text roles bound to light-only --vf-* names (A4-F02)"
A4-R09,brand / identity (--color-brand-primary),Micro runtime alias,index.css:65 → var(--vf-clay) #d97757,PRESENT (contradictory),index.css:119 → #d59172 (retired v0 brand),11 css refs,Contradicts D-01/U-01 ratified adoption (v0 incumbent #cc785c family retired),MEDIUM,SAFE_TO_DEFER,"Identity drift between themes"
A4-R10,brand pressed (--color-brand-pressed),Micro runtime alias,index.css:66 → var(--vf-clay-interactive); index.css:120 → #cc785c (RETIRED value per vf-tokens.test.ts:48-64),PRESENT (dead + contradictory),index.css:120,0 consumers,Dead token mirror in both :root and .dark; dark value is on the RETIRED list,LOW,SAFE_TO_DEFER,"Cleanup candidate; W6 removed 3 dead mirrors — this one survives"
A4-R11,brand text / wordmark (--color-brand-text),Micro runtime alias,index.css:67 → var(--vf-ink) (U-02: brand text is text-safe ink),PRESENT (contradictory),index.css:121 → #8fd5d6 teal,10 css refs (wordmark index.css:243; eyebrows index.css:338; decision labels index.css:534; setting/sheet icons index.css:655),Reintroduces retired teal as brand text — direct U-02 violation in dark (light layer retired teal #057b7c),MEDIUM,SAFE_TO_DEFER,"Contradicts ratified link/ink decision inside the preserved block"
A4-R12,accent / chosen-current edge (--color-accent-primary),Micro runtime alias,index.css:69 → var(--vf-clay-interactive) #c96442,PRESENT (contradictory),index.css:123 → #5ec0c1 teal,45 css refs,Selected/current edge becomes teal in dark — contradicts the ratified Clay-edge selection contract (component-contracts),MEDIUM,SAFE_TO_DEFER,""
A4-R13,interactive ink / links / focus ink (--color-accent-text),Micro runtime alias,index.css:70 → var(--vf-ink) (U-02: teal retired),PRESENT (contradictory),index.css:124 → #8fd5d6 teal; --ring → var(--color-accent-text) index.css:150,69 css refs + base focus outline (index.css:180-184) + nav active (index.css:786) + field focus (index.css:1076-1077),Teal focus/links in dark; contrast itself passes (8.19:1) but violates U-02,MEDIUM,SAFE_TO_DEFER,""
A4-R14,selected/hover quiet surface (--color-accent-soft),Micro runtime alias,index.css:71 → var(--vf-tint),PRESENT,index.css:125 → #332d27,23 css refs,Resolves; collapses into the shared dark soft color,LOW,SAFE_TO_DEFER,""
A4-R15,success pair (--color-success-text/--color-success-bg),Micro-kept pair (index.css:72-75),index.css:72-75 #256b4a/#e4f2ea,PRESENT,index.css:126-127 → #7fc49e/#332d27,16+4 css refs,6.66:1 — passes text floor in dark,LOW,SAFE_TO_DEFER,""
A4-R16,error/destructive pair (--color-danger-text/--color-danger-bg),Micro runtime alias,index.css:76-77 → var(--vf-error) #b53333 / var(--vf-ground),PRESENT,index.css:128-129 → #e47975/#332d27,14+4 css refs,4.72:1 — passes; note light-theme --vf-error #b53333 bound directly by primitives is the one that fails on dark (A4-F02),LOW,SAFE_TO_DEFER,""
A4-R17,warning pair (--color-warning-text/--color-warning-bg),Micro-kept pair (index.css:78-80),index.css:78-80 #7a5c20/#f6eccf,PRESENT,index.css:130-131 → #e2c268/#332d27,62+20 css refs,7.86:1 — passes,LOW,SAFE_TO_DEFER,""
A4-R18,ink on color (--color-ink-on-color),Micro runtime alias,index.css:81 → var(--vf-ink) #141413,MISSING,Not re-declared in .dark; resolves to light ink #141413,3 refs inside .dark (--primary-foreground index.css:139; --secondary-foreground :141; --destructive-foreground :147) + drawer overlay drawer.tsx:29,Accidental pass: #141413 on v0 clay #d59172 = 7.13:1 and on teal #5ec0c1 = 8.6:1 — contrast holds by coincidence not by decision; drawer overlay scrim derives from it,MEDIUM,SAFE_TO_DEFER,"Un-reviewed binding; a future dark palette must re-derive it"
A4-R19,scrim (--vf-scrim),Standard derivative,"vf-tokens.css:159 rgba(20;20;19;0.45); consumed index.css:673 (.micro-dialog-overlay)",PARTIAL,No dark re-declaration; same value used in dark,2 css consumers + drawer.tsx:29 equivalent,45% black scrim plausibly works over dark content but is undocumented/untested for dark; semantic-roles proposal lists scrim as a role,MEDIUM,SAFE_TO_DEFER,""
A4-R20,elevation (--elevation-1/2/3),Micro runtime alias,"vf-tokens.css:153-156 warm rgba(60;50;40;x)",PRESENT,"index.css:108-110 stronger black rgba(0;0;0;x) shadows",16+1+3 css refs,Resolves; only dark-layer tokens with deliberate (non-v0-palette) values,LOW,SAFE_TO_DEFER,""
A4-R21,Standard --vf-* contracts (18 values + action bindings),Standard token layer,vf-tokens.css:23-167 (single owner of Standard hex),MISSING (by design),No .dark re-declaration anywhere (only .dark block in index.css:107-151 re-declares Micro alias names),~76 var() refs in primitives.css + 35 in index.css :root,All --vf-* keep LIGHT values under .dark — the documented design (vf-tokens.css:16-17; SOURCE_OF_TRUTH_MATRIX.md:57); becomes the failure source for text bindings (A4-F02),HIGH,SAFE_TO_DEFER,"By-design light-only until semantic layer exists"
A4-R22,focus ring (buttons/links),Base layer,index.css:180-184 outline 2px var(--color-accent-text),PRESENT (contradictory),--color-accent-text → teal #8fd5d6,all buttons/links (global rule),Visible (8.19:1) but teal contradicts U-02 focus-ink decision,MEDIUM,SAFE_TO_DEFER,""
