ID,Area,Evidence path/route,Current state,Standard coverage,Gap type,Classification,Recommended next step,Dependency,Risk,Acceptance criterion,Rollback boundary
GAP-01,Identity palette,"apps/prototype-web/client/src/index.css L51-75,L111; vite.config.ts L263; public/micro-mark.svg L3; index.html L9-10","Retired v0 palette live (#cc785c/#b4613f/#964e33, ink #1f1e1d, teal #079fa0, success #256b4a, danger #b42318, warning #7a5c20, withdrawal #3e5c76); zero hits of the 18 approved Standard hexes",18-value approved palette + named action classes,runtime token mapping,needs owner decision,Owner approves adoption (D-01); then one PR: --vf-* mapping + shadcn bridge re-bind + twins + guard freeze,Decision pack D-01; Wave 2,Identity-defining; contrast re-verification mandatory,All 18 hexes present byte-for-byte; contrast table re-computed; guards green,Revert token+mapping commit (single commit)
GAP-02,Token mapping architecture,"index.css L9-31,L33-95",No --vf-* layer; micro tokens + shadcn bridge + @theme inline coexist via ordering accident,Standard tokens canonical; strategy names a runtime mapping layer,runtime token mapping,fix now in planning,Design mapping file + bridge + guard update now; values land after D-01,GAP-01 (values only),Namespace collision if a non-inline @theme color is added,Single declared owner of --color-* namespace; zero visual change,Revert PR
GAP-03,Identity twins,vite.config.ts L262-263; public/micro-mark.svg L3; index.html L9-10,PWA theme_color #CC785C + logo fill are manual mirrors; meta theme-color carries canvas colors (runtime-rewritten),Identity flows from tokens,runtime token mapping,needs owner decision,"Single-source build-time injection, bundled with D-01",D-01,App chrome drifts from app identity,Manifest/logo/meta derive from token source,Revert injection
GAP-04,--primary role drift,index.css L82 vs L131,"Primary button = brand-text brown in light, light terracotta in dark",Mode-symmetric button ladder,runtime token mapping,needs owner decision,"Resolved inside the D-01 mapping (one decision, not two)",D-01,Button contract cannot state appearance per mode,One primary role in both modes,Token revert
GAP-05,Teal accent + dark mode scope,"index.css L64-66,L97-144; contexts/ThemeContext.tsx; components/layout/AppHeader.tsx L48-56; App.tsx L14","Teal accent live (nav pill, text-action, focus ring); dark mode + toggle fully live (switchable)",Standard light-only; no link-ink value ratified,product/owner decision,needs owner decision,D-02: teal fate + link ink; D-03: dark-mode fate (keep as Micro-local / freeze),Independent,Standard cannot verify dark; unratified link ink,Recorded decision; Standard unchanged until approved,N/A (decision)
GAP-06,Token guard coverage,scripts/design-token-guards.py (npm design-guards),Bans raw hex outside token zones; NOT a palette freeze; font whitelist entrenches 11px,Frozen approved palette expected,runtime token mapping,fix now in planning,Extend guard to freeze chosen palette + --vf-* checks at mapping time,GAP-01/02,Silent palette drift,Guard fails on unapproved hex,Guard revert
GAP-07,Border token alias chain,"index.css L28,L54,L92",--color-border triple alias (micro -> shadcn -> @theme) works by ordering accident,One namespace owner,runtime token mapping,fix now in planning,Delete dead alias; add namespace guard test,None,Future @theme color emits a competing variable,Single definition remains; test added,Revert
GAP-08,Scrim duplication,index.css L711-716 vs components/ui/drawer.tsx L28-30,"Same 45% scrim implemented twice (one literal, one token)","--vf-scrim rgba(20,20,19,.45)",shared UI primitive,fix now in planning,Sheet primitive owns one scrim; delete the literal,Wave 3 sheet work,Overlay scrim drift,One scrim implementation,Revert
GAP-09,"Token hygiene (pill radius, focus ring)",index.css L1094; border-radius:999px x11,Pill radius + focus-ring composition untokenized,"--radius-full, focus tokens",runtime token mapping,defer,Backfill tokens in the hygiene batch,Wave 2,Low,Tokens consumed; literals reduced,Revert
GAP-10,Type scale floor,index.css: 11px x38 + 12px x119 (157 rules); 13 raw sizes; guard 13-size whitelist,11-12px widespread; no scale tokens; Standard floor = 12px caption; financial facts >=15px,Standard type scale (28/24/15/13),screen composition,needs owner decision,D-04: set floor (12 vs 13px; money >=15px); tokenize scale; mass rewrite deferred,GAP-09,Readability; guard entrenchment,Scale tokens defined; whitelist updated,Revert
GAP-11,Warn chip defect,"index.css L250-261 (no [data-status] variants); pages/InventoryMaterials.tsx L369,L374; pages/Orders.tsx L335; pages/Schedule.tsx L246","data-status=""warn"" unstyled -> warning and empty-state chips render success-green (color contradicts content)",Word+marker+color binding; pending never success,shared UI primitive,fix now in planning,Add [data-status] variants bound to existing --color-warning-*/info tokens,None,Content-color contradiction misleads users,Warn renders warning tokens; journey tests green,Revert CSS
GAP-12,Status chip primitive,Same as GAP-11 + pages/LoanDetail.tsx L136 (improvised overline),Success-only chip; no tone slots; statuses improvised per page,"Tag grammar (10 states, marker+word)",shared UI primitive,fix now in planning,One StatusChip primitive with tone slots (same PR as GAP-11),GAP-11,Divergent status UI,One primitive; ad-hoc uses migrate progressively,Revert
